Model,MSE,RMSE,MAE,R2
Linear Regression,24.291119474973517,4.928602182665336,3.1890919658878483,0.668759493535632
Ridge,24.31290383049162,4.930811680696356,3.1857238072445964,0.6684624359643558
Lasso,27.57769177613475,5.2514466365121475,3.4737704435416634,0.6239428734251422
SVR,25.668539678396044,5.0664129005042655,2.7317161761558397,0.6499766059760035
Decision Tree,10.416078431372549,3.2273949915330395,2.394117647058824,0.8579634380978161
Random Forest,7.912745333333333,2.8129602438238144,2.041078431372549,0.8920995891343227
XGBoost,6.909231565384943,2.62854171840299,1.8908873698290656,0.9057837838492537
LightGBM,7.9960026069330565,2.8277203905147794,1.9420528505583436,0.8909642696401995
CatBoost,7.722556854980712,2.778948875920662,1.7705702557654937,0.8946930524762702
